順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,285A,キオクシアホールディングス,61280.0,41659000,2483425
2,9984,ソフトバンクグループ,7125.0,79058300,555302
3,6981,村田製作所,8538.0,46383100,393166
4,5803,フジクラ,5017.0,66629900,333227
5,6976,太陽誘電,13010.0,24126600,304649
6,5801,古河電気工業,52000.0,5229200,274827
7,8058,三菱商事,5038.0,40475700,204012
8,6857,アドバンテスト,26340.0,7244100,191812
9,4062,イビデン,19740.0,8387100,167822
10,8035,東京エレクトロン,52320.0,3146300,163891
11,8306,三菱ＵＦＪフィナンシャル・グループ,2982.0,41665800,124199
12,6920,レーザーテック,40110.0,2900200,116225
13,5706,三井金属,48750.0,2149400,105629
14,8411,みずほフィナンシャルグループ,7065.0,14467400,102283
15,7011,三菱重工業,3804.0,25450500,97836
16,6146,ディスコ,66350.0,1452600,96238
17,6762,ＴＤＫ,3796.0,24725800,93576
18,6723,ルネサスエレクトロニクス,4306.0,21537400,92181
19,6501,日立製作所,5174.0,17942700,91815
20,8316,三井住友フィナンシャルグループ,5849.0,15094100,88539
21,6758,ソニーグループ,3451.0,24395600,84037
22,4004,レゾナック・ホールディングス,18500.0,4344800,80069
23,9983,ファーストリテイリング,78380.0,1010700,79352
24,6098,リクルートホールディングス,10185.0,7644100,77489
25,7974,任天堂,6972.0,11019200,77002
26,7203,トヨタ自動車,3030.0,25312200,76916
27,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,8124.0,8971100,71776
28,5016,ＪＸ金属,3900.0,16866900,65515
29,5802,住友電気工業,11955.0,5225600,61768
30,4063,信越化学工業,7344.0,7618800,56019
31,6954,ファナック,7984.0,6951500,55360
32,6503,三菱電機,6557.0,7953400,51594
33,3110,日東紡績,22710.0,2229900,49728
34,6861,キーエンス,75180.0,637100,48192
35,6178,日本郵政,2029.5,23062400,46690
36,8766,東京海上ホールディングス,7189.0,6330700,45615
37,7013,ＩＨＩ,2730.0,15132300,41574
38,6702,富士通,3513.0,11724700,41250
39,9432,ＮＴＴ,150.1,250298400,37606
40,6752,パナソニック　ホールディングス,3544.0,10582200,37291
41,3436,ＳＵＭＣＯ,3348.0,10954100,36618
42,5713,住友金属鉱山,8910.0,4084200,36546
43,7220,武蔵精密工業,7960.0,4672800,35746
44,6504,富士電機,15155.0,2324800,35054
45,9531,東京瓦斯,6294.0,5312400,33471
46,8053,住友商事,7105.0,4614600,32666
47,4392,ＦＩＧ,2039.0,15066400,32380
48,8031,三井物産,5327.0,5918500,31490
49,6273,ＳＭＣ,67880.0,465100,31474
50,6963,ローム,5078.0,5974400,30609
51,6506,安川電機,7136.0,4257400,30084
52,9433,ＫＤＤＩ,2714.0,11026000,29876
53,7012,川崎重工業,3089.0,9449600,29451
54,8001,伊藤忠商事,1930.0,14670800,28278
55,7741,ＨＯＹＡ,26970.0,930100,25130
56,8002,丸紅,5224.0,4813500,25081
57,6526,ソシオネクスト,2665.0,9308500,24948
58,8591,オリックス,6124.0,4034600,24679
59,4901,富士フイルムホールディングス,3322.0,7448400,24664
60,7267,本田技研工業,1441.5,16968500,24428
61,6971,京セラ,3271.0,7531500,24379
62,4543,テルモ,2399.5,9511000,22935
63,6701,日本電気,4086.0,5581400,22933
64,1605,ＩＮＰＥＸ,3693.0,6084900,22322
65,6301,小松製作所,6422.0,3340300,21409
66,7936,アシックス,4657.0,4525300,21271
67,2802,味の素,5142.0,4114000,21258
68,6367,ダイキン工業,23480.0,897800,21135
69,2914,日本たばこ産業,6098.0,3448400,21102
70,8136,サンリオ,839.9,24135500,20387
71,7735,ＳＣＲＥＥＮホールディングス,11030.0,1835200,20144
72,4307,野村総合研究所,4832.0,4128500,19768
73,4502,武田薬品工業,5120.0,3797500,19486
74,7182,ゆうちょ銀行,2960.5,6364200,18772
75,6594,ニデック,2684.0,6611000,17733
76,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4245.0,4163600,17676
77,6787,メイコー,37600.0,469000,17632
78,8015,豊田通商,6729.0,2614500,17486
79,4661,オリエンタルランド,2250.0,7737900,17365
80,7751,キヤノン,4225.0,4091100,17254
81,6361,荏原製作所,5499.0,3110500,17129
82,4568,第一三共,2662.5,6353800,17057
83,8630,ＳＯＭＰＯホールディングス,5902.0,2832400,16689
84,8308,りそなホールディングス,2036.0,8129700,16491
85,6871,日本マイクロニクス,15230.0,1081000,16452
86,4503,アステラス製薬,2124.0,7689700,16363
87,9101,日本郵船,5322.0,3047300,16190
88,6965,浜松ホトニクス,2823.0,5710400,15728
89,9434,ソフトバンク,217.4,70482900,15321
90,4519,中外製薬,7743.0,1962700,15244
91,9502,中部電力,2951.0,5109600,15180
92,5401,日本製鉄,563.6,26020600,14673
93,8604,野村ホールディングス,1250.5,11733700,14636
94,7201,日産自動車,399.0,37082600,14574
95,9501,東京電力ホールディングス,557.3,25852800,14445
96,9020,東日本旅客鉄道,3444.0,4076100,14146
97,9104,商船三井,5433.0,2584400,14058
98,9412,スカパーＪＳＡＴ,4535.0,3136300,13931
99,7532,パン・パシフィック・インターナショナルホールディングス,858.5,16167200,13793
100,8750,第一ライフグループ,1627.5,8358500,13629
