順位,コード,銘柄名,現在値,売買代金(百万円),回転率
51,7012,川崎重工業,3168.0,9929,0.37328733260410984
52,6701,日本電気,3682.0,9739,0.19388170812956557
53,5332,ＴＯＴＯ,9226.0,9092,0.5923811763937644
54,8031,三井物産,4690.0,8888,0.06615415436841024
55,6702,富士通,3142.0,8873,0.16231938923843553
56,6787,メイコー,35350.0,8827,0.9316120924461213
57,6971,京セラ,3652.0,8201,0.15824237484355289
58,6871,日本マイクロニクス,16940.0,7989,1.178268441553872
59,6324,ハーモニック・ドライブ・システムズ,8320.0,7649,0.9545212515739554
60,5713,住友金属鉱山,8707.0,7403,0.292363984846884
61,8001,伊藤忠商事,1842.0,7385,0.050593168655442694
62,8801,三井不動産,1464.5,7052,0.17712825601301554
63,9433,ＫＤＤＩ,2647.5,6949,0.06549650495218652
64,9434,ソフトバンク,205.9,6725,0.06804523673657437
65,8308,りそなホールディングス,2217.0,6719,0.13136075222804156
66,7741,ＨＯＹＡ,27020.0,6473,0.0715460228962285
67,8591,オリックス,6498.0,6235,0.08535898530586919
68,6301,小松製作所,6681.0,6211,0.09992590131267216
69,6315,ＴＯＷＡ,3385.0,6165,2.4232758316187732
70,6361,荏原製作所,6715.0,6142,0.19995415396497682
71,9412,スカパーＪＳＡＴ,3010.0,6092,0.6798950792484981
72,8309,三井住友トラストグループ,6162.0,6084,0.1412884134109671
73,6273,ＳＭＣ,73820.0,5777,0.12252811975404056
74,4385,メルカリ,3892.0,5749,0.8945236585210481
75,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4639.0,5689,0.08216411248831205
76,3086,Ｊ．フロント　リテイリング,2878.5,5640,0.7241691635900595
77,8002,丸紅,4851.0,5373,0.06669282570212817
78,7936,アシックス,4187.0,5302,0.17240722671276787
79,8630,ＳＯＭＰＯホールディングス,6469.0,5209,0.08619140699653881
80,7267,本田技研工業,1401.0,5202,0.08191180451138476
81,7182,ゆうちょ銀行,3280.0,5114,0.043601767944283484
82,5805,ＳＷＣＣ,15150.0,5059,1.0832351459309266
83,4088,エア・ウォーター,2663.0,4906,0.8018466115052956
84,6594,ニデック,2789.0,4822,0.14497569490499992
85,9101,日本郵船,5268.0,4778,0.22376931046933562
86,1801,大成建設,14590.0,4742,0.19916989812940977
87,6504,富士電機,15205.0,4658,0.20519274666044976
88,8267,イオン,1289.0,4628,0.1289866249841817
89,9104,商船三井,5326.0,4596,0.23770881241741557
90,5401,日本製鉄,552.4,4510,0.15193394278303396
91,8802,三菱地所,3943.0,4430,0.09230027169104534
92,6754,アンリツ,4592.0,4361,0.6989703172646905
93,8750,第一ライフグループ,1840.5,4343,0.0651505558709628
94,4519,中外製薬,7497.0,4300,0.034159801042539656
95,4901,富士フイルムホールディングス,3366.0,4245,0.10138788910886151
96,8053,住友商事,6484.0,4196,0.05414803602479725
97,4980,デクセリアルズ,4973.0,4182,0.4812489094410063
98,7751,キヤノン,4250.0,4082,0.07201206317009251
99,1605,ＩＮＰＥＸ,3443.0,4066,0.09379024869744106
100,5333,ＮＧＫ,7681.0,4038,0.17988862199102104
