順位,コード,銘柄名,現在値,売買代金(百万円),回転率
1,6890,フェローテック,10590.0,11830,2.119223577578588
2,6327,北川精機,5750.0,11179,23.00906448877436
3,6834,精工技研,29900.0,11105,3.9791991675955365
4,6227,ＡＩメカテック,7250.0,9692,7.092299783579483
5,6855,日本電子材料,8010.0,8978,7.643797009218576
6,3103,ユニチカ,1111.0,6281,9.789153223679001
7,2702,日本マクドナルドホールディングス,7100.0,5569,0.5899264419247131
8,3350,メタプラネット,232.0,4334,1.4579936973235381
9,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,27360.0,3975,1.2146465435394591
10,7014,名村造船所,3675.0,3886,1.52199579674639
11,5985,サンコール,1847.0,3456,5.494000303746775
12,3444,菊池製作所,1264.0,3266,20.942807488378474
13,4716,日本オラクル,8230.0,3235,0.30634108257136333
14,3891,ニッポン高度紙工業,9590.0,3154,3.0741207437812177
15,8918,ランド,10.0,3142,20.33472695030871
16,3449,テクノフレックス,9640.0,3112,1.5113369698665051
17,6627,テラプローブ,12850.0,2858,2.3960404132708613
18,6659,メディアリンクス,64.0,2817,55.931707484436814
19,6994,指月電機製作所,1400.0,2773,5.991089519317626
20,1407,ウエストホールディングス,2400.0,2745,2.4849281368559586
21,6366,千代田化工建設,704.0,1985,1.0831104865754977
22,6524,湖北工業,5840.0,1908,1.2565858798735512
23,6217,津田駒工業,1125.0,1907,24.90043945456351
24,7564,ワークマン,6700.0,1865,0.3400965639948949
25,2962,テクニスコ,1462.0,1857,13.816231544341514
26,6862,ミナトホールディングス,2210.0,1638,9.351541963137143
27,6072,地盤ネットホールディングス,1208.0,1582,5.657519651834382
28,4970,東洋合成工業,16600.0,1363,1.0082832055807196
29,7412,アトム,345.0,1318,1.973705171636609
30,5367,ニッカトー,1662.0,1310,6.494947174782488
31,6433,ヒーハイスト,1235.0,1303,16.702720229628433
32,6016,ジャパンエンジンコーポレーション,8420.0,1164,1.6457414319647097
33,4966,上村工業,26950.0,1138,0.23330761414159865
34,4107,伊勢化学工業,3720.0,1085,0.5679824710872581
35,4691,ワシントンホテル,2824.0,1042,3.0318830728978745
36,6960,フクダ電子,10560.0,989,0.24811126366734315
37,1909,日本ドライケミカル,3730.0,977,0.9117834569679847
38,6629,テクノホライゾン,1053.0,966,4.355355194067567
39,8291,日産東京販売ホールディングス,571.0,912,2.6808106049190585
40,3549,クスリのアオキホールディングス,3572.0,904,0.26468050682926336
41,6946,日本アビオニクス,4995.0,901,1.0759464639347562
42,5817,ＪＭＡＣＳ,1078.0,898,14.383427572360178
43,2782,セリア,3675.0,806,0.28918740491977385
51,6864,エヌエフホールディングス,1951.0,645,4.67609183119381
52,6336,石井表記,1947.0,639,4.013932039255062
53,3441,山王,3525.0,629,3.568794326241135
54,4816,東映アニメーション,2334.0,627,0.12792263434936957
55,1948,弘電社,11480.0,587,0.5700379507378447
56,7716,ナカニシ,2925.0,585,0.21687692884918597
57,8572,アコム,447.3,579,0.08262617245158048
58,6840,ＡＫＩＢＡホールディングス,858.0,560,7.100096737803753
59,6492,岡野バルブ製造,16030.0,551,1.9170691874096917
60,6203,豊和工業,1594.0,537,2.684768358722963
61,3565,アセンテック,349.0,533,3.491588089557597
62,2693,ＹＫＴ,366.0,506,11.611048916275175
63,9436,沖縄セルラー電話,3765.0,470,0.13524325992053057
64,9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,2939.0,468,0.8963159136548469
65,6356,日本ギア工業,1452.0,457,2.204049663942712
66,5216,倉元製作所,154.0,444,5.635019519218992
67,7875,竹田ｉＰホールディングス,1107.0,435,2.23752379876606
68,6656,インスペック,1241.0,416,8.35360689468158
69,5381,マイポックス,1179.0,415,2.435615576260002
70,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,167.0,414,3.6536746357494843
