順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,186A,アストロスケールホールディングス,955.0,5423200,5269
2,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,10270.0,469300,4817
3,581A,ＧＯ,2964.0,1593900,4768
4,485A,パワーエックス,1455.0,3268900,4626
5,6613,ＱＤレーザ,1301.0,3061600,4028
6,3905,データセクション,1876.0,1764400,3382
7,593A,ティアフォー,1009.0,3063700,3083
8,4564,オンコセラピー・サイエンス,19.0,154511400,3044
9,5253,カバー,1546.0,1923600,2971
10,603A,アイ・グリッド・ソリューションズ,796.0,3035200,2418
11,2160,ジーエヌアイグループ,2339.0,1025200,2381
12,215A,タイミー,1422.0,1625500,2296
13,9227,マイクロ波化学,887.0,2260700,2141
14,4597,ソレイジア・ファーマ,28.0,69352300,2004
15,464A,ＱＰＳホールディングス,1388.0,1315200,1854
16,141A,トライアルホールディングス,3085.0,454600,1392
17,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1057.0,1303100,1373
18,4478,フリー,2608.0,498700,1314
19,6521,オキサイド,2698.0,474500,1290
20,4588,オンコリスバイオファーマ,2463.0,444100,1100
21,9256,サクシード,1349.0,770200,1097
22,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2941.0,355400,1057
23,6522,アスタリスク,1498.0,674100,1038
24,9166,ＧＥＮＤＡ,593.0,1543700,917
25,319A,技術承継機構,15420.0,58100,888
26,7806,ＭＴＧ,7180.0,105700,766
27,446A,ノースサンド,1556.0,458000,713
28,4259,エクサウィザーズ,751.0,904100,678
29,456A,ＨＵＭＡＮ　ＭＡＤＥ,1304.0,483400,629
30,4419,Ｆｉｎａｔｅｘｔホールディングス,1548.0,373700,584
31,247A,Ａｉロボティクス,819.0,711600,582
32,402A,アクセルスペースホールディングス,440.0,1313000,575
33,9348,ｉｓｐａｃｅ,406.0,1371900,561
34,325A,ＴＥＮＴＩＡＬ,1552.0,349600,546
35,7777,スリー・ディー・マトリックス,308.0,1717800,536
36,4592,サンバイオ,904.0,583400,528
37,5243,ｎｏｔｅ,2039.0,248900,514
38,4424,Ａｍａｚｉａ,395.0,1112000,456
39,2986,ＬＡホールディングス,2690.0,168800,452
40,6232,ＡＣＳＬ,1506.0,290300,438
41,7803,ブシロード,389.0,1035200,407
42,4475,ＨＥＮＮＧＥ,1292.0,303100,397
43,5834,ＳＢＩリーシングサービス,2774.0,140200,393
44,4431,スマレジ,3240.0,120800,393
45,4894,クオリプス,4170.0,90700,379
46,4593,ヘリオス,219.0,1681100,364
47,6085,アーキテクツ・スタジオ・ジャパン,90.0,4032800,364
48,3479,ＴＫＰ,1930.0,185800,361
49,3664,ＷＩＺＥ,21.0,16422500,347
50,2334,イオレ,448.0,746400,337
51,3692,ＦＦＲＩセキュリティ,4825.0,67500,328
52,5246,ＥＬＥＭＥＮＴＳ,728.0,449600,325
53,5574,ＡＢＥＪＡ,2544.0,127800,323
54,4889,レナサイエンス,1385.0,228500,321
55,3911,Ａｉｍｉｎｇ,185.0,1668700,315
56,350A,デジタルグリッド,710.0,426000,303
57,9270,バリュエンスホールディングス,1885.0,151700,293
58,7794,イーディーピー,820.0,344000,287
59,3989,シェアリングテクノロジー,1368.0,206700,282
60,7779,ＣＹＢＥＲＤＹＮＥ,214.0,1250500,271
61,584A,ＬｉＮＫＸ,2065.0,124200,262
62,421A,ムービン・ストラテジック・キャリア,3575.0,74200,260
63,7318,セレンディップ・ホールディングス,1806.0,143500,259
64,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1405.0,184300,257
65,7409,ＡｅｒｏＥｄｇｅ,1407.0,183400,256
66,219A,Ｈｅａｒｔｓｅｅｄ,1634.0,149900,245
67,7774,ジャパン・ティッシュエンジニアリング,660.0,369200,233
68,5842,インテグラル,2966.0,79300,233
69,598A,チャットプラス,1493.0,147700,223
70,4417,グローバルセキュリティエキスパート,4395.0,48900,218
71,218A,Ｌｉｂｅｒａｗａｒｅ,996.0,214600,216
72,4479,マクアケ,820.0,257000,210
73,5537,ＡｌｂａＬｉｎｋ,2531.0,82500,210
74,4477,ＢＡＳＥ,305.0,665200,202
75,150A,ＪＳＨ,447.0,421500,190
76,264A,Ｓｃｈｏｏ,278.0,616000,187
77,336A,ダイナミックマッププラットフォーム,778.0,238500,187
78,3418,バルニバービ,1050.0,173500,181
79,4498,サイバートラスト,1193.0,150300,179
80,9211,エフ・コード,1318.0,134200,176
81,7047,ポート,2336.0,73500,171
82,5592,くすりの窓口,2355.0,71200,169
83,4425,Ｋｕｄａｎ,1550.0,101700,159
84,4165,プレイド,588.0,260500,153
85,3652,ディジタルメディアプロフェッショナル,2206.0,68600,150
86,4058,トヨクモ,2353.0,61500,146
87,4258,網屋,4365.0,32800,145
88,6255,エヌ・ピー・シー,590.0,248800,145
89,4575,キャンバス,705.0,203700,143
90,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,212.0,656000,142
91,6597,ＨＰＣシステムズ,3105.0,40400,126
92,6577,ベストワンドットコム,1953.0,62600,123
93,7097,さくらさくプラス,2763.0,43400,121
94,4377,ワンキャリア,2125.0,56800,120
95,7373,アイドマ・ホールディングス,981.0,121700,119
96,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,3595.0,32600,118
97,299A,クラシル,1069.0,110400,118
98,7063,Ｂｉｒｄｍａｎ,91.0,1219600,114
99,3930,はてな,840.0,135400,114
100,3793,ドリコム,437.0,262200,113
