順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6203,豊和工業,2140.0,24838100,57299
2,4440,ヴィッツ,2070.0,6756100,16010
3,3103,ユニチカ,1456.0,8253200,11854
4,4667,アイサンテクノロジー,3625.0,2297300,8728
5,6890,フェローテック,9370.0,823400,7809
6,7014,名村造船所,4895.0,1523700,7449
7,3350,メタプラネット,251.0,27669300,6924
8,6834,精工技研,5470.0,1032300,5724
9,8117,中央自動車工業,2134.0,2431700,5190
10,6227,ＡＩメカテック,6440.0,683800,4546
11,2702,日本マクドナルドホールディングス,8150.0,500700,4094
12,8918,ランド,10.0,322093900,3320
13,8995,誠建設工業,2048.0,1264400,3179
14,6855,日本電子材料,6570.0,434400,2884
15,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,20270.0,120400,2450
16,4716,日本オラクル,8850.0,270300,2400
17,2330,フォーサイド,123.0,17192500,2353
18,2782,セリア,4775.0,465500,2213
19,5985,サンコール,2199.0,987400,2203
20,7564,ワークマン,5880.0,331700,1963
21,6524,湖北工業,5010.0,393200,1960
22,7906,ヨネックス,2543.0,754000,1933
23,6946,日本アビオニクス,6380.0,270500,1717
24,6016,ジャパンエンジンコーポレーション,11710.0,125400,1466
25,4816,東映アニメーション,2975.0,420100,1254
26,4966,上村工業,19250.0,63100,1216
27,2354,ＹＥ　ＤＩＧＩＴＡＬ,1387.0,796200,1125
28,6862,ミナトホールディングス,4510.0,233000,1056
29,6366,千代田化工建設,736.0,1402500,1024
30,3549,クスリのアオキホールディングス,4015.0,247500,996
31,3891,ニッポン高度紙工業,6390.0,137700,881
32,4970,東洋合成工業,10200.0,86200,880
33,2780,コメ兵ホールディングス,4515.0,179700,823
34,1407,ウエストホールディングス,2387.0,344300,823
35,7273,イクヨ,630.0,1262800,816
36,6627,テラプローブ,10790.0,70200,773
37,7743,シード,793.0,866800,687
38,7746,岡本硝子,827.0,815900,685
39,9436,沖縄セルラー電話,4215.0,162300,684
40,2962,テクニスコ,1688.0,407600,679
41,1783,ｆａｎｔａｓｉｓｔａ,72.0,9406200,668
42,4107,伊勢化学工業,4055.0,166100,665
43,1844,大盛工業,484.0,1333800,661
44,3907,シリコンスタジオ,2121.0,311400,660
45,7716,ナカニシ,3080.0,210200,647
46,6960,フクダ電子,11710.0,51000,601
47,8746,ｕｎｂａｎｋｅｄ,138.0,4265900,582
48,8508,Ｊトラスト,741.0,724400,539
49,8572,アコム,478.0,1105600,530
50,604A,ビーエイブル,1219.0,404400,491
51,4499,Ｓｐｅｅｅ,2332.0,201300,476
52,7287,日本精機,2567.0,184100,474
53,1723,日本電技,2483.0,188000,466
54,6677,エスケーエレクトロニクス,3170.0,140400,445
55,4238,ミライアル,1814.0,228600,418
56,287A,黒田グループ,1136.0,363600,413
57,2805,エスビー食品,7430.0,55600,410
58,3083,スターシーズ,1252.0,313400,397
59,7711,助川電気工業,5100.0,71900,373
60,4664,アール・エス・シー,1190.0,311300,369
61,3399,丸千代山岡家,4085.0,89800,368
62,6327,北川精機,3065.0,117200,365
63,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,67.0,5238400,363
64,1965,テクノ菱和,7160.0,50400,361
65,7354,ダイレクトマーケティングミックス,392.0,906400,348
66,3222,ユナイテッド・スーパーマーケット・ホールディングス,843.0,410700,347
67,6072,地盤ネットホールディングス,1068.0,325900,346
68,5161,西川ゴム工業,3470.0,99700,345
69,4320,ＣＥホールディングス,1647.0,208600,344
70,4222,児玉化学工業,692.0,473400,330
71,5724,アサカ理研,3245.0,97500,318
72,5367,ニッカトー,1390.0,224800,313
73,146A,コロンビア・ワークス,3755.0,82900,313
74,6998,日本タングステン,3445.0,87800,307
75,3449,テクノフレックス,4060.0,72400,295
76,5287,イトーヨーギョー,1011.0,301500,290
77,6838,多摩川ホールディングス,1478.0,188300,282
78,6570,共和コーポレーション,3440.0,78400,280
79,7018,内海造船,13460.0,20600,278
80,8254,さいか屋,329.0,928200,275
81,6226,守谷輸送機工業,2207.0,121400,273
82,6840,ＡＫＩＢＡホールディングス,815.0,327300,272
83,9708,帝国ホテル,961.0,279700,269
84,4972,綜研化学,3805.0,70800,267
85,6023,ダイハツインフィニアース,3250.0,80200,263
86,6176,ブランジスタ,1085.0,236800,261
87,6668,アドテック　プラズマ　テクノロジー,3765.0,67300,255
88,9782,ディーエムエス,3410.0,72800,249
89,6145,ＮＩＴＴＯＫＵ,2438.0,97200,237
90,4746,東計電算,6940.0,34100,236
91,7279,ハイレックスコーポレーション,2449.0,94600,230
92,8917,ファースト住建,1068.0,205800,225
93,7480,スズデン,3420.0,64100,220
94,9632,スバル興業,3505.0,62200,217
95,7709,クボテック,61.0,3630400,213
96,6730,アクセル,1118.0,187300,211
97,3851,日本一ソフトウェア,1474.0,141700,210
98,4293,セプテーニ・ホールディングス,506.0,406300,207
99,9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,3365.0,61100,206
100,6469,放電精密加工研究所,2864.0,69800,201
