コード,発行済株式数
1301,12078283
1332,305265402
1333,151736511
1375,39910700
1376,11772626
1377,45410750
1379,33359040
1380,4179000
1381,5617500
1382,762000
1383,1613580
1384,8459000
1401,7732000
1407,46027488
1414,218980720
1417,91325329
1418,17010529
1419,29455800
1420,13740000
1429,34760000
1430,13363540
1431,24151540
1432,2066000
1433,9297200
1434,6975400
1435,91127000
1436,12857400
1438,3244600
1443,16237977
1444,1088700
1445,472600
1446,10734200
1447,24446958
1450,8699600
1452,50000
1491,14487399
1514,67222853
1515,80000000
1518,65322000
1605,1259136067
1662,257000380
1663,28336061
1711,10432773
1716,12000000
1717,12775900
1718,1153263
1719,181021197
1720,106761205
1721,118000000
1723,65580000
1724,4743780
1726,45795000
1736,17100000
1758,2458800
1762,34818578
1764,1331220
1766,13472000
1768,7500000
1770,10200000
1776,0
1780,21103514
1783,193308851
1786,138809400
1787,2602500
1788,686000
1793,26794280
1795,901151
1798,11300000
1799,20858491
1801,163185872
1802,691811346
1803,716689413
1807,6391400
1808,292479897
1810,30580000
1811,7353140
1812,528656011
1813,16489522
1814,10614225
1815,14973956
1820,41791502
1822,89015815
1826,13386233
1827,34498097
1828,10728000
1833,38665226
1835,36100000
1840,25775118
1844,18735209
1847,14568800
1848,18602244
1850,28235730
1852,80786290
1853,32800000
1860,318005696
1861,173142240
1866,25347412
1867,6873528
1870,44607457
1871,47486029
1873,40000000
1878,344594895
1879,61360720
1882,50394730
1885,87978516
1887,89255000
1888,12964993
1893,286013910
1897,3806660
1898,37424507
1899,8988111
1904,6882487
1905,7347680
1909,28727248
1911,618566304
1914,29346400
1921,33800000
1925,659636182
1926,42970450
1928,651422166
1929,41774899
1930,29963991
1934,69191462
1938,25117717
1939,48766410
1941,58138117
1942,205288338
1944,199954180
1945,33223752
1946,96649950
1948,8970000
1950,61537219
1951,205624838
1952,48564450
1959,70864961
1960,16000000
1961,160983468
1963,244293008
1964,7800000
1965,21228604
1966,7334350
1967,24127652
1968,65195940
1969,140478804
1972,19800000
1975,27200000
1976,55117218
1979,63464018
1980,137891406
1981,10342200
1982,44000000
1992,2623227
1994,9553011
1997,2200000
2001,84727163
2002,282111891
2003,37538912
2004,32995420
2009,26036374
2053,30371908
2055,20830825
2060,38477128
2108,12487589
2109,31464780
2112,35000000
2114,51437400
2117,32800095
2120,134586032
2121,68530850
2122,6967200
2124,165557200
2127,336934800
